nome,descrição
Azul,Uma cor que evoca tranquilidade e serenidade.
verde,Uma cor associada à natureza e à renovação.
amarelo,Uma cor vibrante que simboliza energia e otimismo.
vermelho,Uma cor apaixonada que transmite calor e vitalidade.
preto,Uma cor clássica que representa elegância e sofisticação.
rosa,Uma cor suave que sugere feminilidade e delicadeza.
branco,Uma cor pura que simboliza paz e pureza.
cinza,Uma cor neutra e versátil que transmite equilíbrio.
bege,Uma cor suave e discreta que complementa outras cores.
off-white,Uma variação suave e cremosa do branco clássico.
laranja,Uma cor vibrante que evoca entusiasmo e criatividade.
